CI_LGAa_data2
Postcode,Year,Incidents Recorded
3915,2021,423
3916,2021,423
3920,2021,423
3921,2021,423
3922,2021,423
3923,2021,423
3924,2021,423
3930,2021,423
3931,2021,423
3932,2021,423
3933,2021,423
3934,2021,423
3936,2021,423
3939,2021,423
3190,2021,1005
3191,2021,1005
3192,2021,1005
3193,2021,1005
3194,2021,1005
3195,2021,1005
3196,2021,1005
3197,2021,1005
3171,2021,2030
3172,2021,2030
3173,2021,2030
3174,2021,2030
3175,2021,2030
3176,2021,2030
3177,2021,2030
3161,2021,1003
3162,2021,1003
3163,2021,1003
3164,2021,1003
3181,2021,1003
3182,2021,1003
3199,2021,1457
3200,2021,1457
3201,2021,1457
3202,2021,1457
3203,2021,1457
3204,2021,1457
3198,2021,1457
3805,2021,1080
3806,2021,1080
3807,2021,1080
3808,2021,1080
3810,2021,1080
3812,2021,1080
3814,2021,1080
3816,2021,1080
3825,2021,1080
3833,2021,1080
3835,2021,1080
3975,2021,1080
3976,2021,1080
3977,2021,1080
3978,2021,1080
3810,2021,499
3812,2021,499
3814,2021,499
3816,2021,499
3818,2021,499
3821,2021,499
3822,2021,499
3825,2021,499
3977,2021,499
3978,2021,499
3979,2021,499
3190,2021,478
3191,2021,478
3192,2021,478
3193,2021,478
3194,2021,478
3195,2021,478
3196,2021,478
3197,2021,478
3390,2023,51
3391,2023,51
3393,2023,51
3395,2023,51
3396,2023,51
3399,2023,51
3390,2023,18
3391,2023,18
3393,2023,18
3395,2023,18
3396,2023,18
3399,2023,18
3280,2023,702
3281,2023,702
3282,2023,702
3585,2023,306
3586,2023,306
3587,2023,306
3588,2023,306
3590,2023,306
3216,2023,104
3217,2023,104
3221,2023,104
3222,2023,104
3223,2023,104
3225,2023,104
3228,2023,104
3233,2023,104
3300,2023,93
3301,2023,93
3304,2023,93
3305,2023,93
3306,2023,93
3312,2023,93
3314,2023,93
3315,2023,93
3225,2023,27
3228,2023,27
3377,2023,40
3379,2023,40
3380,2023,40
3381,2023,40
3384,2023,40
3385,2023,40
3387,2023,40
3380,2023,119
3381,2023,119
3384,2023,119
3385,2023,119
3387,2023,119
3388,2023,119
3280,2023,54
3281,2023,54
3282,2023,54
3283,2023,54
3284,2023,54
3286,2023,54
3287,2023,54
3288,2023,54
3450,2023,80
3451,2023,80
3452,2023,80
3453,2023,80
3454,2023,80
3455,2023,80
3456,2023,80
3465,2023,80
3467,2023,80
3340,2023,156
3341,2023,156
3342,2023,156
3343,2023,156
3345,2023,156
3350,2023,156
3352,2023,156
3355,2023,156
3356,2023,156
3358,2023,156
3500,2023,690
3501,2023,690
3502,2023,690
3505,2023,690
3506,2023,690
3507,2023,690
3508,2023,690
3509,2023,690
3440,2023,190
3441,2023,190
3442,2023,190
3444,2023,190
3446,2023,190
3447,2023,190
3448,2023,190
3449,2023,190
3515,2023,43
3516,2023,43
3517,2023,43
3518,2023,43
3520,2023,43
3522,2023,43
3523,2023,43
3525,2023,43
3400,2023,325
3401,2023,325
3402,2023,325
3407,2023,325
3408,2023,325
3414,2023,28
3415,2023,28
3418,2023,28
3419,2023,28
3420,2023,28
